,Left_side,Right_side,Support,Confidence,Lift
49,Perfume,Toothbrush,0.02182,0.242552245,3.601369643
50,Toothbrush,Perfume,0.02182,0.323979213,3.601369643
16,Toothbrush,Bow,0.01134,0.168374165,3.081236432
15,Bow,Toothbrush,0.01134,0.207521274,3.081236432
52,"Magazine,Candy Bar",Greeting Cards,0.016665,0.411126187,2.798966452
65,"Pencils,Toothpaste",Candy Bar,0.01139,0.463762215,2.711980439
53,"Greeting Cards,Magazine",Candy Bar,0.016665,0.458648686,2.682077634
71,"Magazine,Toothpaste",Greeting Cards,0.011945,0.377230381,2.568202203
62,"Magazine,Toothpaste",Candy Bar,0.01372,0.433285962,2.533761951
56,"Greeting Cards,Toothpaste",Candy Bar,0.013175,0.41069202,2.401637496
68,"Pencils,Magazine",Greeting Cards,0.010955,0.346348403,2.357956248
55,"Toothpaste,Candy Bar",Greeting Cards,0.013175,0.331196581,2.254801928
66,"Greeting Cards,Magazine",Pencils,0.010955,0.301499931,2.234574254
59,"Pencils,Magazine",Candy Bar,0.012005,0.379544736,2.219494962
57,"Magazine,Candy Bar",Pencils,0.012005,0.296163809,2.195025452
63,"Pencils,Candy Bar",Toothpaste,0.01139,0.344994699,2.150504593
64,"Toothpaste,Candy Bar",Pencils,0.01139,0.286324786,2.122103289
60,"Magazine,Candy Bar",Toothpaste,0.01372,0.338472925,2.109851486
69,"Greeting Cards,Magazine",Toothpaste,0.011945,0.328746388,2.049221679
54,"Greeting Cards,Candy Bar",Toothpaste,0.013175,0.301763628,1.881026199
17,Candy Bar,Greeting Cards,0.04366,0.255314172,1.738190912
18,Greeting Cards,Candy Bar,0.04366,0.297239337,1.738190912
51,"Greeting Cards,Candy Bar",Magazine,0.016665,0.381699496,1.581813456
67,"Greeting Cards,Pencils",Magazine,0.010955,0.374658003,1.552632572
70,"Greeting Cards,Toothpaste",Magazine,0.011945,0.372350374,1.543069452
58,"Pencils,Candy Bar",Magazine,0.012005,0.363622596,1.506900378
29,Greeting Cards,Pencils,0.02924,0.199067298,1.475392237
30,Pencils,Greeting Cards,0.02924,0.216712989,1.475392237
25,Candy Bar,Toothpaste,0.03978,0.232624777,1.450053153
26,Toothpaste,Candy Bar,0.03978,0.247966339,1.450053153
22,Pencils,Candy Bar,0.033015,0.244691495,1.430902578
21,Candy Bar,Pencils,0.033015,0.19306453,1.430902578
61,"Toothpaste,Candy Bar",Magazine,0.01372,0.344896933,1.429298743
31,Greeting Cards,Toothpaste,0.03208,0.218402151,1.361397234
32,Toothpaste,Greeting Cards,0.03208,0.199968833,1.361397234
40,Photo Processi,Magazine,0.016455,0.281378249,1.166068871
39,Magazine,Photo Processi,0.016455,0.068191708,1.166068871
45,Pencils,Toothpaste,0.02456,0.182027052,1.134655148
46,Toothpaste,Pencils,0.02456,0.153093346,1.134655148
28,Magazine,Greeting Cards,0.036335,0.150577071,1.02513579
27,Greeting Cards,Magazine,0.036335,0.247370392,1.02513579
0,,Bow,0.054645,0.054645,1
11,,Soap,0.043025,0.043025,1
14,,Wrapping Paper,0.05099,0.05099,1
12,,Toothbrush,0.06735,0.06735,1
2,,Greeting Cards,0.146885,0.146885,1
3,,Magazine,0.241305,0.241305,1
4,,Pain Reliever,0.0267,0.0267,1
5,,Pencils,0.134925,0.134925,1
6,,Pens,0.143575,0.143575,1
1,,Candy Bar,0.171005,0.171005,1
7,,Perfume,0.08996,0.08996,1
10,,Shampoo,0.0338,0.0338,1
13,,Toothpaste,0.160425,0.160425,1
8,,Photo Processi,0.05848,0.05848,1
9,,Prescription M,0.014505,0.014505,1
19,Candy Bar,Magazine,0.040535,0.237039853,0.982324662
20,Magazine,Candy Bar,0.040535,0.167982429,0.982324662
34,Pencils,Magazine,0.03163,0.234426533,0.971494719
33,Magazine,Pencils,0.03163,0.131078925,0.971494719
44,Toothpaste,Magazine,0.031665,0.197381954,0.817977059
43,Magazine,Toothpaste,0.031665,0.13122397,0.817977059
42,Toothbrush,Magazine,0.013175,0.195619896,0.810674856
41,Magazine,Toothbrush,0.013175,0.054598952,0.810674856
38,Perfume,Magazine,0.01719,0.191084927,0.79188134
37,Magazine,Perfume,0.01719,0.071237645,0.79188134
35,Magazine,Pens,0.02115,0.087648412,0.610471264
36,Pens,Magazine,0.02115,0.147309768,0.610471264
23,Candy Bar,Pens,0.012265,0.071723049,0.499551099
24,Pens,Candy Bar,0.012265,0.085425736,0.499551099
48,Toothpaste,Pens,0.010315,0.064297959,0.447835337
47,Pens,Toothpaste,0.010315,0.071843984,0.447835337
